Z [IMP],Z [mm],X [IMP],X [mm],Yaw [deg]
"26' 4"" 3/4",8045.79,"-1' 2"" 9/16",-239.91,-6.38
"26' 8"" 7/16",8139.62,"-1' 2"" 1/2",-242.03,-6.95
"30' 8"" 3/16",9351.8,"-2' 8"" 3/8",-397.15,-5.99
"30' 4"" 5/16",9254.24,"-2' 8"" 1/2",-393.66,-16.38
"30' 5"" 1/16",9272.55,"-2' 8"" 1/2",-394.27,0.0
"33' 4"" 0",10160.46,"-1' 2"" 3/8",-244.66,-7.46
"32' 10"" 7/16",10019.26,"-1' 2"" 7/16",-242.12,0.0
"32' 11"" 7/8",10055.46,"-1' 2"" 7/16",-242.75,-7.46
"28' 10"" 7/16",8799.85,"-1' 2"" 1/4",-247.62,-23.32
"29' 4"" 1/16",8941.87,"-1' 2"" 1/8",-250.59,-23.32
"28' 11"" 3/8",8823.22,"-1' 2"" 1/4",-248.1,-23.32
"28' 9"" 7/16",8773.51,"-1' 2"" 1/4",-247.04,-19.03
