Z [IMP],Z [mm],X [IMP],X [mm],Yaw [deg]
"40' 10"" 5/16",12453.17,"1' 2"" 1/2",368.26,1.45
"46' 4"" 3/8",14131.77,"0' 2"" 3/16",55.31,0.41
"44' 10"" 5/16",13672.68,"0' 4"" 7/8",123.48,13.39
"45' 1"" 3/4",13761.14,"0' 4"" 5/16",110.19,0.66
"48' 9"" 11/16",14876.07,"-5' 3"" 7/16",-1437.44,-5.54
"48' 10"" 1/8",14887.12,"-5' 3"" 3/8",-1438.48,-5.54
"48' 8"" 15/16",14857.07,"-5' 3"" 1/2",-1435.67,-5.54
"48' 4"" 1/8",14735.06,"-5' 3"" 15/16",-1424.36,-5.54
"51' 3"" 7/8",15643.95,"-1' 0"" 3/8",-294.84,12.7
"51' 9"" 3/4",15791.93,"-1' 0"" 5/16",-297.05,-0.4
"50' 8"" 1/2",15455.62,"-1' 0"" 1/2",-292.0,2.99
"50' 11"" 1/8",15522.78,"-1' 0"" 7/16",-293.01,2.99
"50' 10"" 1/16",15496.05,"-1' 0"" 1/2",-292.61,1.92
"50' 7"" 7/8",15439.71,"-1' 0"" 1/2",-291.77,1.92
"48' 6"" 3/8",14792.05,"-1' 2"" 1/8",-250.89,5.02
"47' 10"" 15/16",14603.9,"-1' 2"" 3/16",-248.46,-0.05
"47' 9"" 1/8",14557.49,"-1' 2"" 1/4",-247.86,-6.06
"47' 5"" 3/16",14458.03,"-1' 2"" 5/16",-246.58,-0.34
"47' 4"" 1/4",14433.77,"-1' 2"" 5/16",-246.26,4.6
"47' 5"" 5/8",14468.06,"-1' 2"" 5/16",-246.71,-3.7
"48' 10"" 13/16",14904.91,"-1' 1"" 7/16",-268.05,-0.37
"47' 4"" 9/16",14441.22,"-1' 2"" 5/16",-246.36,-8.27
"48' 2"" 3/8",14691.42,"-1' 2"" 3/16",-249.6,11.54
"47' 5"" 1/8",14455.28,"-1' 2"" 5/16",-246.54,0.05
"47' 7"" 5/8",14519.96,"-1' 2"" 1/4",-247.37,7.25
"47' 3"" 13/16",14421.94,"-1' 2"" 5/16",-246.11,-0.26
"47' 4"" 7/8",14448.76,"-1' 2"" 5/16",-246.47,-6.06
"47' 5"" 1/2",14464.6,"-1' 2"" 5/16",-246.66,-3.63
"47' 5"" 1/2",14464.74,"-1' 2"" 5/16",-246.67,-0.25
"47' 3"" 13/16",14422.4,"-1' 2"" 5/16",-246.11,4.6
"47' 6"" 3/16",14482.25,"-1' 2"" 1/4",-246.9,3.53
"47' 5"" 9/16",14467.59,"-1' 2"" 5/16",-246.7,-0.87
"47' 10"" 15/16",14602.98,"-1' 2"" 3/16",-248.45,5.56
